system:index,date,id,instrument_mode,lat,lon,look_angle,orbit_number,orbit_pass,platform,polarization,relative_orbit,resolution,slice_number,timestamp,.geo
S1A_IW_GRDH_1SDV_20160906T225007_20160906T225036_012938_014765_5BB7,2016-09-06 22:50:07,S1A_IW_GRDH_1SDV_20160906T225007_20160906T225036_012938_014765_5BB7,IW,22.590657716823856,106.168552812639,,12938.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1473202207000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160916T105811_20160916T105836_013077_014BD9_B419,2016-09-16 10:58:11,S1A_IW_GRDH_1SDV_20160916T105811_20160916T105836_013077_014BD9_B419,IW,22.97970492433078,106.99029959029639,,13077.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1474023491580,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160918T225007_20160918T225036_013113_014D16_5397,2016-09-18 22:50:07,S1A_IW_GRDH_1SDV_20160918T225007_20160918T225036_013113_014D16_5397,IW,22.590510881815256,106.16801843872939,,13113.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1474239007920,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160928T105811_20160928T105836_013252_01519B_B3D7,2016-09-28 10:58:11,S1A_IW_GRDH_1SDV_20160928T105811_20160928T105836_013252_01519B_B3D7,IW,22.979703182612557,106.989596897912,,13252.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1475060291000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20160930T225008_20160930T225037_013288_0152BE_1BE0,2016-09-30 22:50:08,S1A_IW_GRDH_1SDV_20160930T225008_20160930T225037_013288_0152BE_1BE0,IW,22.590411000232496,106.1676450402182,,13288.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1475275808000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161010T105811_20161010T105836_013427_01571F_7EBA,2016-10-10 10:58:11,S1A_IW_GRDH_1SDV_20161010T105811_20161010T105836_013427_01571F_7EBA,IW,22.97972805082263,106.98890260281198,,13427.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1476097091000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161012T225008_20161012T225037_013463_015847_CAA8,2016-10-12 22:50:08,S1A_IW_GRDH_1SDV_20161012T225008_20161012T225037_013463_015847_CAA8,IW,22.590122467736787,106.16791380760787,,13463.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1476312608210,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161022T105811_20161022T105836_013602_015CA1_8567,2016-10-22 10:58:11,S1A_IW_GRDH_1SDV_20161022T105811_20161022T105836_013602_015CA1_8567,IW,22.979694094370057,106.98897046753859,,13602.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1477133891000,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161024T225008_20161024T225037_013638_015DB9_9A23,2016-10-24 22:50:08,S1A_IW_GRDH_1SDV_20161024T225008_20161024T225037_013638_015DB9_9A23,IW,22.590803823595117,106.1681914443387,,13638.0,DESCENDING,A,"[VV, VH]",91.0,10.0,1.0,1477349408280,"{""type"":""MultiPoint"",""coordinates"":[]}"
S1A_IW_GRDH_1SDV_20161103T105811_20161103T105836_013777_016212_22D8,2016-11-03 10:58:11,S1A_IW_GRDH_1SDV_20161103T105811_20161103T105836_013777_016212_22D8,IW,22.97967219156718,106.98937769217495,,13777.0,ASCENDING,A,"[VV, VH]",55.0,10.0,2.0,1478170691000,"{""type"":""MultiPoint"",""coordinates"":[]}"
